Date,Open,High,Low,Close,Volume,Adj Close
2016-09-02,107.699997,108.00,106.82,107.730003,26334900,107.730003
2016-09-01,106.139999,106.800003,105.620003,106.730003,26701500,106.730003
2016-08-31,105.660004,106.57,105.639999,106.099998,29662400,106.099998
2016-08-30,105.800003,106.50,105.50,106.00,24863900,106.00
2016-08-29,106.620003,107.440002,106.290001,106.82,24970300,106.82
2016-08-26,107.410004,107.949997,106.309998,106.940002,27766300,106.940002
2016-08-25,107.389999,107.879997,106.68,107.57,25086200,107.57
2016-08-24,108.57,108.75,107.68,108.029999,23675100,108.029999
2016-08-23,108.589996,109.32,108.529999,108.849998,21257700,108.849998
2016-08-22,108.860001,109.099998,107.849998,108.510002,25820200,108.510002
2016-08-19,108.769997,109.690002,108.360001,109.360001,25368100,109.360001
2016-08-18,109.230003,109.599998,109.019997,109.080002,21984700,109.080002
2016-08-17,109.099998,109.370003,108.339996,109.220001,25356000,109.220001
2016-08-16,109.629997,110.230003,109.209999,109.379997,33794400,109.379997
2016-08-15,108.139999,109.540001,108.080002,109.480003,25868200,109.480003
2016-08-12,107.779999,108.440002,107.779999,108.18,18660400,108.18
2016-08-11,108.519997,108.93,107.849998,107.93,27484500,107.93
2016-08-10,108.709999,108.900002,107.760002,108.00,24008500,108.00
2016-08-09,108.230003,108.940002,108.010002,108.809998,26315200,108.809998
2016-08-08,107.519997,108.370003,107.160004,108.370003,28037200,108.370003
2016-08-05,106.269997,107.650002,106.18,107.480003,40553400,107.480003
2016-08-04,105.580002,106.00,105.279999,105.870003,27408700,105.870003
